Date,Actual Price,Predicted Price
2023-05-28,28085.646484375,27696.605
2023-05-29,27745.884765625,27729.406
2023-05-30,27702.349609375,27831.15
2023-05-31,27219.658203125,27977.498
2023-06-01,26819.97265625,28117.13
2023-06-02,27249.58984375,28203.947
2023-06-03,27075.12890625,28248.092
2023-06-04,27119.06640625,28250.96
2023-06-05,25760.09765625,28224.494
2023-06-06,27238.783203125,28113.016
2023-06-07,26345.998046875,27993.344
2023-06-08,26508.216796875,27856.875
2023-06-09,26480.375,27720.297
2023-06-10,25851.240234375,27595.076
2023-06-11,25940.16796875,27458.426
2023-06-12,25902.5,27315.41
2023-06-13,25918.728515625,27174.16
2023-06-14,25124.67578125,27045.414
2023-06-15,25576.39453125,26898.266
2023-06-16,26327.462890625,26754.41
2023-06-17,26510.67578125,26664.92
2023-06-18,26336.212890625,26652.033
2023-06-19,26851.029296875,26701.078
2023-06-20,28327.48828125,26816.436
2023-06-21,30027.296875,27053.281
2023-06-22,29912.28125,27481.979
2023-06-23,30695.46875,28063.395
2023-06-24,30548.6953125,28761.676
2023-06-25,30480.26171875,29492.79
2023-06-26,30271.130859375,30174.447
2023-06-27,30688.1640625,30737.443
2023-06-28,30086.24609375,31172.783
2023-06-29,30445.3515625,31449.05
2023-06-30,30477.251953125,31594.355
2023-07-01,30590.078125,31641.244
2023-07-02,30620.76953125,31627.297
2023-07-03,31156.439453125,31582.398
2023-07-04,30777.58203125,31555.262
2023-07-05,30514.166015625,31541.45
2023-07-06,29909.337890625,31523.97
2023-07-07,30342.265625,31466.21
2023-07-08,30292.541015625,31389.24
2023-07-09,30171.234375,31305.982
2023-07-10,30414.470703125,31221.605
2023-07-11,30620.951171875,31156.154
2023-07-12,30391.646484375,31127.576
2023-07-13,31476.048828125,31124.643
2023-07-14,30334.068359375,31195.373
2023-07-15,30295.806640625,31277.4
2023-07-16,30249.1328125,31340.176
2023-07-17,30145.888671875,31369.707
2023-07-18,29856.5625,31360.906
2023-07-19,29913.923828125,31305.791
2023-07-20,29792.015625,31217.814
