Date,price,Predictions
2024-05-03 00:00:00,2988.5486490452654,3126.4427195536086
2024-05-04 00:00:00,3102.1512923656555,3120.180739768669
2024-05-05 00:00:00,3115.0233215730136,3116.6946128753966
2024-05-06 00:00:00,3136.57511039041,3112.6114812769683
2024-05-07 00:00:00,3064.5913995603364,3110.292934291502
2024-05-08 00:00:00,3015.1597696166846,3103.161348361284
2024-05-09 00:00:00,2975.72696606529,3090.4685420268306
2024-05-10 00:00:00,3038.3447046668207,3075.246054738328
2024-05-11 00:00:00,2910.684500017475,3062.2613156704906
2024-05-12 00:00:00,2908.9827849031903,3043.9388742767455
2024-05-13 00:00:00,2931.3106669139133,3019.851025693698
2024-05-14 00:00:00,2948.3034552659406,2995.4063033139682
2024-05-15 00:00:00,2881.7959916152945,2974.301816973684
2024-05-16 00:00:00,3035.758955126304,2957.565598807424
2024-05-17 00:00:00,2943.5851283842208,2954.3618900266333
2024-05-18 00:00:00,3095.9968442929658,2952.3428270609807
2024-05-19 00:00:00,3120.5493782541066,2957.2342483588754
2024-05-20 00:00:00,3071.324418093757,2967.380911934863
2024-05-21 00:00:00,3656.390090299324,2976.787851492167
2024-05-22 00:00:00,3792.486220211773,3024.2905780116216
2024-05-23 00:00:00,3741.897740560911,3101.5784476998283
2024-05-24 00:00:00,3766.398091341944,3191.46186315327
2024-05-25 00:00:00,3727.065981583209,3283.670017647051
2024-05-26 00:00:00,3750.077159389676,3375.814590309091
2024-05-27 00:00:00,3825.277957577714,3463.9621160380048
2024-05-28 00:00:00,3893.3921058941055,3548.607506146415
2024-05-29 00:00:00,3840.68886040005,3630.04964055122
2024-05-30 00:00:00,3765.3025567780796,3704.6854984452116
2024-05-31 00:00:00,3748.6391523334596,3759.4199409529456
2024-06-01 00:00:00,3761.0692456476336,3803.504351131269
2024-06-02 00:00:00,3813.452441559934,3832.6426511044274
2024-06-03 00:00:00,3780.7119847349145,3854.6646187459564
2024-06-04 00:00:00,3766.6376499412618,3871.318678915858
2024-06-05 00:00:00,3814.932030146498,3862.6093271989566
2024-06-06 00:00:00,3871.0820906216727,3842.466421672668
2024-06-07 00:00:00,3812.701856549199,3822.914630848119
2024-06-08 00:00:00,3679.3766523741783,3801.070420489152
2024-06-09 00:00:00,3683.0253801346485,3773.3363577405157
2024-06-10 00:00:00,3705.8998844045504,3743.693782859562
2024-06-11 00:00:00,3666.8276647258203,3713.960743567177
2024-06-12 00:00:00,3498.5559542215797,3682.1971633537655
2024-06-13 00:00:00,3559.4475336257624,3643.296409258178
2024-06-14 00:00:00,3465.316584199481,3607.9881041687972
2024-06-15 00:00:00,3478.7748349889234,3571.0008460545714
2024-06-16 00:00:00,3565.1232591862595,3535.480198790779
2024-06-17 00:00:00,3618.508652976102,3506.2102043822815
2024-06-18 00:00:00,3510.3586935289036,3486.1666737854116
2024-06-19 00:00:00,3480.4713384276088,3466.7603207375046
2024-06-20 00:00:00,3555.9658395535403,3446.184726498777
2024-06-21 00:00:00,3511.28482815368,3429.247644113479
2024-06-22 00:00:00,3516.88098000528,3414.4660009267595
2024-06-23 00:00:00,3494.7985621731755,3405.5316208742443
2024-06-24 00:00:00,3417.7971372978254,3398.549248363883
2024-06-25 00:00:00,3357.1006400727606,3388.005840198864
2024-06-26 00:00:00,3395.304687339692,3373.5473920713484
2024-06-27 00:00:00,3365.9446697083863,3364.0641845211007
2024-06-28 00:00:00,3442.910158110125,3353.413699114504
2024-06-29 00:00:00,3374.6051303067916,3349.893893483754
2024-06-30 00:00:00,3371.278227967461,3345.497685549938
2024-07-01 00:00:00,3435.3183276337395,3338.2893785495917
2024-07-02 00:00:00,3438.009078999906,3332.427616945442
2024-07-03 00:00:00,3417.8984255478363,3330.9585896833505
2024-07-04 00:00:00,3295.808464429979,3331.4109117405073
2024-07-05 00:00:00,3069.0434008340803,3323.505621002672
2024-07-06 00:00:00,2984.398102498264,3299.278526697855
2024-07-07 00:00:00,3066.247437954064,3261.528135577013
2024-07-08 00:00:00,2928.6012310061665,3222.8305110863926
2024-07-09 00:00:00,3016.0833537946064,3178.5792174779663
2024-07-09 03:53:33,3066.045817555225,3139.7393267510047
